日期,臺灣中型100指數,臺灣中型100報酬指數,Date,Close,Adj Close,Dividends,Stock Splits
113/06/03,"20,312.78","41,090.43",2024-06-03,20312.78,41090.43,0,0
113/06/04,"20,173.23","40,808.12",2024-06-04,20173.23,40808.12,0,0
113/06/05,"20,109.80","40,699.71",2024-06-05,20109.8,40699.71,0,0
113/06/06,"20,151.54","40,795.47",2024-06-06,20151.54,40795.47,0,0
113/06/07,"20,325.70","41,148.03",2024-06-07,20325.7,41148.03,0,0
113/06/11,"20,154.10","40,800.65",2024-06-11,20154.1,40800.65,0,0
113/06/12,"20,139.48","40,785.31",2024-06-12,20139.48,40785.31,0,0
113/06/13,"20,331.59","41,185.94",2024-06-13,20331.59,41185.94,0,0
113/06/14,"20,639.27","41,809.22",2024-06-14,20639.27,41809.22,0,0
113/06/17,"20,683.85","41,899.51",2024-06-17,20683.85,41899.51,0,0
