日期,臺灣中型100指數,臺灣中型100報酬指數,Date,Close,Adj Close,Dividends,Stock Splits
105/01/04,"5,952.48","8,892.39",2016-01-04,5952.48,8892.39,0,0
105/01/05,"5,935.84","8,867.54",2016-01-05,5935.84,8867.54,0,0
105/01/06,"5,867.23","8,765.05",2016-01-06,5867.23,8765.05,0,0
105/01/07,"5,745.05","8,582.52",2016-01-07,5745.05,8582.52,0,0
105/01/08,"5,804.94","8,671.98",2016-01-08,5804.94,8671.98,0,0
105/01/11,"5,693.04","8,504.81",2016-01-11,5693.04,8504.81,0,0
105/01/12,"5,635.68","8,419.13",2016-01-12,5635.68,8419.13,0,0
105/01/13,"5,674.40","8,476.97",2016-01-13,5674.4,8476.97,0,0
105/01/14,"5,618.87","8,394.01",2016-01-14,5618.87,8394.01,0,0
105/01/15,"5,586.35","8,345.43",2016-01-15,5586.35,8345.43,0,0
105/01/18,"5,706.64","8,525.13",2016-01-18,5706.64,8525.13,0,0
105/01/19,"5,741.11","8,576.63",2016-01-19,5741.11,8576.63,0,0
105/01/20,"5,628.56","8,408.49",2016-01-20,5628.56,8408.49,0,0
105/01/21,"5,593.75","8,356.48",2016-01-21,5593.75,8356.48,0,0
105/01/22,"5,642.40","8,429.17",2016-01-22,5642.4,8429.17,0,0
105/01/25,"5,747.88","8,586.75",2016-01-25,5747.88,8586.75,0,0
105/01/26,"5,710.88","8,531.47",2016-01-26,5710.88,8531.47,0,0
105/01/27,"5,721.88","8,547.90",2016-01-27,5721.88,8547.9,0,0
105/01/28,"5,803.57","8,669.94",2016-01-28,5803.57,8669.94,0,0
105/01/29,"5,934.72","8,865.87",2016-01-29,5934.72,8865.87,0,0
105/01/30,"5,987.92","8,945.34",2016-01-30,5987.92,8945.34,0,0
