日期,臺灣中型100指數,臺灣中型100報酬指數,Date,Close,Adj Close,Dividends,Stock Splits
108/07/01,"8,082.23","13,549.53",2019-07-01,8082.23,13549.53,0,0
108/07/02,"8,077.81","13,548.40",2019-07-02,8077.81,13548.4,0,0
108/07/03,"8,005.07","13,439.03",2019-07-03,8005.07,13439.03,0,0
108/07/04,"8,042.26","13,516.20",2019-07-04,8042.26,13516.2,0,0
108/07/05,"8,038.18","13,523.43",2019-07-05,8038.18,13523.43,0,0
108/07/08,"7,998.46","13,465.72",2019-07-08,7998.46,13465.72,0,0
108/07/09,"7,950.39","13,402.55",2019-07-09,7950.39,13402.55,0,0
108/07/10,"8,009.08","13,506.62",2019-07-10,8009.08,13506.62,0,0
108/07/11,"8,040.88","13,628.13",2019-07-11,8040.88,13628.13,0,0
108/07/12,"8,044.53","13,657.58",2019-07-12,8044.53,13657.58,0,0
108/07/15,"8,084.82","13,750.03",2019-07-15,8084.82,13750.03,0,0
108/07/16,"8,091.14","13,765.57",2019-07-16,8091.14,13765.57,0,0
108/07/17,"8,070.23","13,739.09",2019-07-17,8070.23,13739.09,0,0
108/07/18,"8,016.55","13,665.72",2019-07-18,8016.55,13665.72,0,0
108/07/19,"8,076.90","13,771.63",2019-07-19,8076.9,13771.63,0,0
108/07/22,"8,104.37","13,838.93",2019-07-22,8104.37,13838.93,0,0
108/07/23,"8,099.51","13,834.83",2019-07-23,8099.51,13834.83,0,0
108/07/24,"8,091.49","13,828.14",2019-07-24,8091.49,13828.14,0,0
108/07/25,"8,148.17","13,945.26",2019-07-25,8148.17,13945.26,0,0
108/07/26,"8,146.04","13,947.74",2019-07-26,8146.04,13947.74,0,0
108/07/29,"8,142.21","13,950.50",2019-07-29,8142.21,13950.5,0,0
108/07/30,"8,056.09","13,802.93",2019-07-30,8056.09,13802.93,0,0
108/07/31,"8,070.99","13,828.46",2019-07-31,8070.99,13828.46,0,0
