日期,臺灣中型100指數,臺灣中型100報酬指數,Date,Close,Adj Close,Dividends,Stock Splits
111/02/07,"14,602.39","27,164.78",2022-02-07,14602.39,27164.78,0,0
111/02/08,"14,768.11","27,473.06",2022-02-08,14768.11,27473.06,0,0
111/02/09,"14,956.88","27,824.24",2022-02-09,14956.88,27824.24,0,0
111/02/10,"14,984.81","27,876.19",2022-02-10,14984.81,27876.19,0,0
111/02/11,"14,964.46","27,838.33",2022-02-11,14964.46,27838.33,0,0
111/02/14,"14,700.63","27,347.54",2022-02-14,14700.63,27347.54,0,0
111/02/15,"14,720.64","27,384.76",2022-02-15,14720.64,27384.76,0,0
111/02/16,"14,921.64","27,758.69",2022-02-16,14921.64,27758.69,0,0
111/02/17,"15,027.58","27,955.76",2022-02-17,15027.58,27955.76,0,0
111/02/18,"15,072.78","28,039.85",2022-02-18,15072.78,28039.85,0,0
111/02/21,"15,093.17","28,077.78",2022-02-21,15093.17,28077.78,0,0
111/02/22,"14,871.85","27,666.05",2022-02-22,14871.85,27666.05,0,0
