日期,臺灣中型100指數,臺灣中型100報酬指數,Date,Close,Adj Close,Dividends,Stock Splits
115/09/01,"36,572.49","79,912.32",2026-09-01,36572.49,79912.32,0,0
115/09/02,"36,250.75","79,233.93",2026-09-02,36250.75,79233.93,0,0
115/09/03,"35,582.59","77,773.52",2026-09-03,35582.59,77773.52,0,0
115/09/04,"36,218.76","79,164.01",2026-09-04,36218.76,79164.01,0,0
115/09/07,"36,376.80","79,509.43",2026-09-07,36376.8,79509.43,0,0
115/09/08,"36,086.98","78,959.74",2026-09-08,36086.98,78959.74,0,0
115/09/09,"36,325.99","79,501.28",2026-09-09,36325.99,79501.28,0,0
115/09/10,"36,084.56","78,972.89",2026-09-10,36084.56,78972.89,0,0
115/09/11,"35,591.67","77,894.16",2026-09-11,35591.67,77894.16,0,0
115/09/14,"35,302.76","77,261.88",2026-09-14,35302.76,77261.88,0,0
115/09/15,"34,816.97","76,198.70",2026-09-15,34816.97,76198.7,0,0
115/09/16,"35,348.90","77,362.85",2026-09-16,35348.9,77362.85,0,0
115/09/17,"35,575.24","77,858.21",2026-09-17,35575.24,77858.21,0,0
115/09/18,"36,165.29","79,149.57",2026-09-18,36165.29,79149.57,0,0
115/09/21,"36,209.28","79,245.84",2026-09-21,36209.28,79245.84,0,0
115/09/22,"36,417.14","79,700.77",2026-09-22,36417.14,79700.77,0,0
115/09/23,"36,355.90","79,603.84",2026-09-23,36355.9,79603.84,0,0
115/09/24,"36,443.33","79,795.28",2026-09-24,36443.33,79795.28,0,0
