日期,臺灣中型100指數,臺灣中型100報酬指數,Date,Close,Adj Close,Dividends,Stock Splits
 98/05/04,"5,429.69","6,475.02",2009-05-04,5429.69,6475.02,0,0
 98/05/05,"5,410.35","6,451.97",2009-05-05,5410.35,6451.97,0,0
 98/05/06,"5,640.24","6,726.11",2009-05-06,5640.24,6726.11,0,0
 98/05/07,"5,722.74","6,824.49",2009-05-07,5722.74,6824.49,0,0
 98/05/08,"5,788.10","6,902.44",2009-05-08,5788.1,6902.44,0,0
 98/05/11,"5,888.12","7,021.71",2009-05-11,5888.12,7021.71,0,0
 98/05/12,"5,674.53","6,767.00",2009-05-12,5674.53,6767.0,0,0
 98/05/13,"5,776.75","6,888.90",2009-05-13,5776.75,6888.9,0,0
 98/05/14,"5,722.66","6,824.41",2009-05-14,5722.66,6824.41,0,0
 98/05/15,"5,877.83","7,009.45",2009-05-15,5877.83,7009.45,0,0
 98/05/18,"5,953.43","7,099.60",2009-05-18,5953.43,7099.6,0,0
 98/05/19,"5,955.94","7,102.60",2009-05-19,5955.94,7102.6,0,0
 98/05/20,"6,006.42","7,162.79",2009-05-20,6006.42,7162.79,0,0
 98/05/21,"6,059.18","7,225.71",2009-05-21,6059.18,7225.71,0,0
 98/05/22,"6,149.82","7,333.80",2009-05-22,6149.82,7333.8,0,0
 98/05/25,"6,191.72","7,383.76",2009-05-25,6191.72,7383.76,0,0
 98/05/26,"6,006.11","7,162.42",2009-05-26,6006.11,7162.42,0,0
 98/05/27,"6,218.35","7,415.52",2009-05-27,6218.35,7415.52,0,0
