日期,臺灣中型100指數,臺灣中型100報酬指數,Date,Close,Adj Close,Dividends,Stock Splits
111/01/03,"14,908.43","27,734.11",2022-01-03,14908.43,27734.11,0,0
111/01/04,"14,941.07","27,794.82",2022-01-04,14941.07,27794.82,0,0
111/01/05,"14,955.04","27,820.82",2022-01-05,14955.04,27820.82,0,0
111/01/06,"14,877.11","27,675.85",2022-01-06,14877.11,27675.85,0,0
111/01/07,"14,723.84","27,390.71",2022-01-07,14723.84,27390.71,0,0
111/01/10,"14,781.88","27,498.68",2022-01-10,14781.88,27498.68,0,0
111/01/11,"14,723.55","27,390.18",2022-01-11,14723.55,27390.18,0,0
111/01/12,"14,744.09","27,428.39",2022-01-12,14744.09,27428.39,0,0
111/01/13,"14,789.77","27,513.36",2022-01-13,14789.77,27513.36,0,0
111/01/14,"14,678.86","27,307.03",2022-01-14,14678.86,27307.03,0,0
111/01/17,"14,782.00","27,498.92",2022-01-17,14782.0,27498.92,0,0
111/01/18,"14,843.80","27,613.88",2022-01-18,14843.8,27613.88,0,0
111/01/19,"14,763.19","27,463.92",2022-01-19,14763.19,27463.92,0,0
111/01/20,"14,818.28","27,566.40",2022-01-20,14818.28,27566.4,0,0
111/01/21,"14,547.13","27,061.99",2022-01-21,14547.13,27061.99,0,0
111/01/24,"14,496.62","26,968.02",2022-01-24,14496.62,26968.02,0,0
